branch,canonical_field,source_dataset,source_column,match_type,is_fuzzy,fallback_used
Physical,accel_y,Dataset_T-ITS_Seg8_Physical,agy,EXACT,False,NONE
Physical,accel_z,Dataset_T-ITS_Seg8_Physical,agz,EXACT,False,NONE
Physical,pitch,Dataset_T-ITS_Seg10_Physical,pitch,EXACT,False,NONE
Physical,roll,Dataset_T-ITS_Seg10_Physical,roll,EXACT,False,NONE
Physical,yaw,Dataset_T-ITS_Seg10_Physical,yaw,EXACT,False,NONE
Physical,velocity_x,Dataset_T-ITS_Seg10_Physical,vgx,EXACT,False,NONE
Physical,velocity_y,Dataset_T-ITS_Seg10_Physical,vgy,EXACT,False,NONE
Physical,velocity_z,Dataset_T-ITS_Seg10_Physical,vgz,EXACT,False,NONE
Physical,height,Dataset_T-ITS_Seg10_Physical,h,EXACT,False,NONE
Physical,battery,Dataset_T-ITS_Seg10_Physical,bat,FUZZY,True,NONE
Physical,barometer,Dataset_T-ITS_Seg10_Physical,baro,FUZZY,True,NONE
Physical,flight_time,Dataset_T-ITS_Seg10_Physical,flight_time,EXACT,False,NONE
Physical,temperature,Dataset_T-ITS_Seg10_Physical,templ+temph,FUZZY,True,NONE
Physical,distance,Dataset_T-ITS_Seg10_Physical,tof,FUZZY,True,NONE
Physical,speed_norm,Dataset_T-ITS_Seg10_Physical,"DERIVED(vx,vy,vz)",DERIVED,False,NONE
Physical,speed_horizontal,Dataset_T-ITS_Seg10_Physical,"DERIVED(vx,vy)",DERIVED,False,NONE
Physical,angular_speed_norm,Dataset_T-ITS_Seg10_Physical,"DERIVED(pitch,roll,yaw)",DERIVED,False,NONE
Physical,kinetic_energy_z_proxy,Dataset_T-ITS_Seg10_Physical,DERIVED(vz),DERIVED,False,NONE
Physical,accel_x,Dataset_T-ITS_Seg10_Physical,agx,EXACT,False,NONE
Physical,accel_y,Dataset_T-ITS_Seg10_Physical,agy,EXACT,False,NONE
Physical,accel_z,Dataset_T-ITS_Seg10_Physical,agz,EXACT,False,NONE
